temperature	energy	order_param
5.00000000 	-887.00000000 	24.00000000 	
5.00000000 	-919.00000000 	25.00000000 	
5.00000000 	-919.00000000 	25.00000000 	
5.00000000 	-919.00000000 	25.00000000 	
5.00000000 	-919.00000000 	25.00000000 	
5.00000000 	-923.00000000 	24.00000000 	
5.00000000 	-923.00000000 	24.00000000 	
5.00000000 	-923.00000000 	24.00000000 	
5.00000000 	-923.00000000 	24.00000000 	
5.00000000 	-923.00000000 	24.00000000 	
5.00000000 	-928.00000000 	25.00000000 	
5.00000000 	-927.00000000 	24.00000000 	
5.00000000 	-919.00000000 	24.00000000 	
5.00000000 	-919.00000000 	24.00000000 	
5.00000000 	-919.00000000 	24.00000000 	
5.00000000 	-919.00000000 	24.00000000 	
5.00000000 	-919.00000000 	24.00000000 	
5.00000000 	-919.00000000 	24.00000000 	
5.00000000 	-919.00000000 	24.00000000 	
5.00000000 	-919.00000000 	24.00000000 	
5.00000000 	-927.00000000 	24.00000000 	
5.00000000 	-927.00000000 	24.00000000 	
5.00000000 	-926.00000000 	23.00000000 	
5.00000000 	-937.00000000 	22.00000000 	
5.00000000 	-937.00000000 	22.00000000 	
5.00000000 	-937.00000000 	22.00000000 	
5.00000000 	-944.00000000 	21.00000000 	
5.00000000 	-944.00000000 	21.00000000 	
5.00000000 	-944.00000000 	20.00000000 	
5.00000000 	-971.00000000 	20.00000000 	
5.00000000 	-971.00000000 	20.00000000 	
5.00000000 	-971.00000000 	20.00000000 	
5.00000000 	-972.00000000 	21.00000000 	
5.00000000 	-972.00000000 	21.00000000 	
5.00000000 	-975.00000000 	20.00000000 	
5.00000000 	-1005.00000000 	21.00000000 	
5.00000000 	-1005.00000000 	21.00000000 	
5.00000000 	-1005.00000000 	21.00000000 	
5.00000000 	-1005.00000000 	21.00000000 	
5.00000000 	-1005.00000000 	21.00000000 	
5.00000000 	-1005.00000000 	21.00000000 	
5.00000000 	-1005.00000000 	21.00000000 	
5.00000000 	-1005.00000000 	21.00000000 	
5.00000000 	-998.00000000 	22.00000000 	
5.00000000 	-1007.00000000 	22.00000000 	
5.00000000 	-1007.00000000 	22.00000000 	
5.00000000 	-1007.00000000 	22.00000000 	
5.00000000 	-1007.00000000 	22.00000000 	
5.00000000 	-1046.00000000 	23.00000000 	
5.00000000 	-1050.00000000 	22.00000000 	
5.00000000 	-1050.00000000 	22.00000000 	
5.00000000 	-1050.00000000 	22.00000000 	
5.00000000 	-1050.00000000 	22.00000000 	
5.00000000 	-1050.00000000 	22.00000000 	
5.00000000 	-1050.00000000 	22.00000000 	
5.00000000 	-1050.00000000 	22.00000000 	
5.00000000 	-1050.00000000 	22.00000000 	
5.00000000 	-1046.00000000 	23.00000000 	
5.00000000 	-1046.00000000 	23.00000000 	
5.00000000 	-1046.00000000 	23.00000000 	
5.00000000 	-1069.00000000 	24.00000000 	
5.00000000 	-1095.00000000 	24.00000000 	
5.00000000 	-1095.00000000 	24.00000000 	
5.00000000 	-1095.00000000 	24.00000000 	
5.00000000 	-1088.00000000 	23.00000000 	
5.00000000 	-1102.00000000 	24.00000000 	
5.00000000 	-1102.00000000 	24.00000000 	
5.00000000 	-1102.00000000 	24.00000000 	
5.00000000 	-1102.00000000 	24.00000000 	
5.00000000 	-1103.00000000 	25.00000000 	
5.00000000 	-1103.00000000 	25.00000000 	
5.00000000 	-1111.00000000 	24.00000000 	
5.00000000 	-1111.00000000 	24.00000000 	
5.00000000 	-1111.00000000 	24.00000000 	
5.00000000 	-1175.00000000 	25.00000000 	
5.00000000 	-1175.00000000 	25.00000000 	
5.00000000 	-1175.00000000 	25.00000000 	
5.00000000 	-1175.00000000 	25.00000000 	
5.00000000 	-1175.00000000 	25.00000000 	
5.00000000 	-1175.00000000 	25.00000000 	
5.00000000 	-1174.00000000 	24.00000000 	
5.00000000 	-1174.00000000 	24.00000000 	
5.00000000 	-1174.00000000 	24.00000000 	
5.00000000 	-1143.00000000 	23.00000000 	
5.00000000 	-1143.00000000 	23.00000000 	
5.00000000 	-1143.00000000 	23.00000000 	
5.00000000 	-1143.00000000 	23.00000000 	
5.00000000 	-1143.00000000 	23.00000000 	
5.00000000 	-1151.00000000 	25.00000000 	
5.00000000 	-1190.00000000 	26.00000000 	
5.00000000 	-1201.00000000 	25.00000000 	
5.00000000 	-1201.00000000 	25.00000000 	
5.00000000 	-1201.00000000 	25.00000000 	
5.00000000 	-1201.00000000 	25.00000000 	
5.00000000 	-1201.00000000 	25.00000000 	
5.00000000 	-1201.00000000 	25.00000000 	
5.00000000 	-1249.00000000 	26.00000000 	
5.00000000 	-1249.00000000 	26.00000000 	
5.00000000 	-1249.00000000 	26.00000000 	
5.00000000 	-1249.00000000 	26.00000000 	
5.00000000 	-1249.00000000 	26.00000000 	
5.00000000 	-1249.00000000 	26.00000000 	
5.00000000 	-1249.00000000 	26.00000000 	
5.00000000 	-1249.00000000 	26.00000000 	
5.00000000 	-1248.00000000 	25.00000000 	
5.00000000 	-1275.00000000 	25.00000000 	
5.00000000 	-1275.00000000 	25.00000000 	
5.00000000 	-1275.00000000 	25.00000000 	
5.00000000 	-1275.00000000 	25.00000000 	
5.00000000 	-1305.00000000 	26.00000000 	
5.00000000 	-1305.00000000 	26.00000000 	
5.00000000 	-1305.00000000 	26.00000000 	
